ax,ay,az,gx,gy,gz,temp,time
-204,-328,18496,482,315,39,2704,162739
-268,-324,18420,509,332,71,2704,162759
-288,-300,18384,462,325,29,2672,162780
-264,-372,18440,499,321,63,2720,162801
-272,-348,18480,481,281,61,2656,162822
-228,-316,18436,499,313,79,2704,162843
-280,-356,18520,490,313,36,2720,162864
-268,-448,18428,469,312,51,2640,162885
-268,-400,18512,494,317,42,2704,162906
-464,-508,18404,512,312,24,2704,162927
8,-220,18416,524,301,90,2704,162948
-68,-248,18320,500,338,67,2704,162969
-96,-164,18416,505,361,32,2704,162990
-444,-312,18500,463,299,62,2704,163011
-372,-536,18472,475,327,48,2672,163032
-312,-380,18356,493,308,68,2640,163053
-12,-308,18472,522,334,79,2720,163074
-244,-288,18424,471,362,49,2704,163095
-224,-224,18508,489,357,81,2704,163116
-440,-372,18356,476,332,76,2720,163137
-264,-380,18544,502,316,49,2720,163158
-188,-412,18388,496,315,65,2640,163179
-156,-368,18484,513,339,41,2704,163200
-248,-236,18360,483,329,69,2704,163221
-352,-336,18424,488,331,31,2720,163242
-288,-276,18500,487,281,76,2704,163263
-148,-400,18456,493,359,42,2656,163284
-68,-368,18436,479,338,91,2720,163305
-300,-388,18348,502,352,56,2720,163326
-320,-248,18488,478,334,54,2672,163347
-352,-376,18532,498,328,47,2672,163368
-264,-404,18364,514,334,43,2720,163389
-184,-300,18484,511,305,36,2736,163410
-232,-332,18444,492,323,67,2640,163431
-240,-396,18420,512,301,57,2656,163452
816,-164,18516,360,829,-572,2672,163473
-444,-1220,18400,436,657,-2347,2720,163494
-228,-2236,18508,633,440,-8442,2704,163515
808,-2004,18576,-168,388,2278,2656,163536
-1100,576,18516,-456,253,799,2720,163557
-372,-476,18400,-572,518,276,2640,163578
-308,-464,18504,-895,435,343,2640,163599
-192,-420,18440,-1229,520,379,2720,163620
-420,484,18408,-1479,475,1182,2704,163641
-352,-368,18636,-2146,347,706,2704,163662
-868,-656,18444,-2678,468,408,2704,163683
-300,-1324,18260,-2650,457,35,2640,163704
-160,-1500,18308,-2736,498,353,2640,163725
-280,-1132,18428,-2863,414,347,2640,163746
108,-1932,18344,-2810,440,1218,2736,163767
-24,-2224,18452,-3025,310,1914,2720,163788
-440,-1784,18276,-2494,431,1660,2704,163809
-416,-2028,18088,-1689,387,1349,2656,163830
-428,-1844,18536,-1550,385,515,2720,163851
-436,-2132,18288,-2269,668,105,2704,163872
-384,-2308,18268,-2927,681,84,2720,163893
-436,-2376,18156,-2979,309,324,2720,163914
-472,-2532,18272,-3047,291,431,2704,163935
-208,-2228,18176,-3197,49,440,2608,163956
-560,-2556,18044,-3469,722,-909,2704,163977
-444,-3960,17916,-1979,112,-58,2736,163998
-400,-2804,18384,-3119,219,331,2704,164019
-468,-3464,17992,-3622,163,438,2704,164040
-536,-3380,18072,-3466,140,-181,2720,164061
-360,-3904,17968,-3618,294,-656,2640,164082
-288,-3972,17840,-3286,164,42,2592,164103
-424,-4020,17872,-3366,53,19,2640,164124
-484,-4260,17852,-3321,111,14,2704,164145
-368,-4384,17780,-3022,224,-23,2672,164166
-376,-4424,17868,-3792,233,-23,2720,164187
-392,-4736,17624,-4588,238,-82,2736,164208
-424,-4972,17528,-4799,273,-67,2720,164229
-384,-5376,17456,-4561,261,-61,2656,164250
-264,-5576,17284,-3778,185,248,2704,164271
-252,-5724,17348,-3282,146,568,2656,164292
-228,-5804,17356,-3426,-69,845,2704,164313
