ax,ay,az,gx,gy,gz,temp,time
1924,-816,-15716,355,590,-696,2128,20209
2216,-748,-15940,388,304,-468,2112,20229
2124,-744,-15696,385,252,-511,2192,20250
2164,-492,-15644,393,195,-650,2192,20271
2104,-780,-16128,313,25,-281,2176,20292
2164,-568,-15884,309,-16,-76,2240,20313
2228,-508,-15760,277,-64,-32,2176,20334
2152,-344,-15948,336,65,-57,2192,20355
2364,-412,-15564,327,145,194,2176,20376
2200,-760,-15688,339,81,-1,2176,20397
2184,-712,-15784,334,142,-69,2192,20418
2392,-528,-15764,321,314,-58,2144,20439
2264,-552,-15644,327,146,-104,2128,20460
2180,-548,-15740,331,77,-68,2144,20481
2068,-188,-15836,301,187,337,2240,20502
2512,-468,-15772,318,87,102,2208,20523
2044,-432,-15788,323,-84,87,2176,20544
2256,-440,-15968,297,40,49,2192,20565
2036,-376,-16120,329,275,100,2176,20586
3300,-1604,-15668,240,-204,606,2144,20607
2076,-460,-15944,315,-91,136,2176,20628
1868,-336,-15960,261,-171,587,2256,20649
2636,-760,-15660,236,-333,732,2176,20670
2256,-600,-15836,265,-241,472,2144,20691
2024,-424,-15696,272,-278,606,2176,20712
1852,-284,-15764,161,-323,790,2144,20733
-4004,3116,-19144,137,1748,2610,2176,20754
5548,-2992,-16232,215,391,351,2176,20775
1560,-100,-16212,94,460,1215,2176,20796
2224,-352,-16056,-11,663,1304,2176,20817
2360,208,-15892,-610,-112,1720,2176,20838
2232,-320,-16036,-956,-237,1804,2144,20859
1816,-1188,-16900,-1126,-470,1540,2128,20880
1708,-236,-15616,-1696,-1270,1405,2256,20901
1056,-668,-15272,-1715,-2065,409,2176,20922
332,-456,-14864,-2074,-2644,40,2208,20943
-3028,504,-14692,-391,-736,-172,2176,20964
2240,184,-12772,-28,-1898,-232,2192,20985
668,-828,-15424,215,-825,236,2176,21006
1108,-1024,-16784,-8,-608,134,2192,21027
1280,-1124,-14876,425,180,-452,2192,21048
1576,44,-16300,170,-271,-146,2208,21069
1896,944,-15416,-31,-162,207,2208,21090
2344,1008,-14052,191,-875,406,2176,21111
1128,276,-17148,317,-440,505,2192,21132
440,516,-20068,1050,-870,442,2144,21153
-912,1056,-15028,1248,-1554,50,2128,21174
528,324,-13384,1040,-1414,-12,2192,21195
4072,-960,-11916,519,-398,-506,2176,21216
364,-4,-16828,646,122,-960,2208,21237
1312,784,-16148,620,1380,-1932,2192,21258
-216,956,-15964,175,-378,472,2112,21279
316,-16,-17268,188,-789,1632,2176,21300
1512,-1504,-15384,146,-1261,824,2128,21321
580,-964,-17328,-30,-823,-168,2176,21342
576,-236,-17140,-625,-933,-2215,2128,21363
772,396,-15244,-1493,-2882,-2874,2128,21384
264,344,-15704,-580,-2269,-1327,2208,21405
-944,1024,-18224,-1537,-1240,-1581,2192,21426
-2184,1024,-18564,-5203,-392,-4508,2208,21447
256,1084,-17784,-4594,-2380,-5164,2176,21468
776,768,-17924,-4343,-2018,-5756,2128,21489
-1928,1856,-16732,-2347,-212,-5455,2144,21510
-3476,5076,-18916,-704,-2654,-3699,2144,21531
-3048,1844,-17192,-1369,-3759,450,2176,21552
-404,852,-18676,-1081,-4346,151,2208,21573
-956,360,-20592,1177,-1927,1395,2176,21594
872,1872,-21196,58,-4478,1277,2176,21615
2976,1700,-16716,-4918,-9769,1321,2144,21636
6360,1504,-13768,-5809,-13670,2382,2128,21657
9504,1932,-17628,-74,-7643,4290,2192,21678
8276,2984,-20544,3827,-1728,4727,2192,21699
8712,3360,-26272,6132,3055,5383,2144,21720
7260,3480,-29712,5143,4236,5562,2144,21741
7492,1668,-28208,1354,3093,5004,2144,21762
8384,328,-27664,2262,6743,3590,2208,21783
7864,800,-30500,3948,15642,2381,2176,21804
1752,888,-29860,4137,20128,974,2176,21825
-1032,1168,-25052,4682,16393,-198,2240,21846
744,1692,-23440,3268,11890,-14,2240,21867
-628,2072,-23988,2884,11479,269,2208,21888
-1316,3552,-24476,1022,16021,242,2176,21909
-4956,3268,-19820,-3042,18782,2263,2144,21930
-5564,-2212,-11684,-4587,17026,1235,2176,21951
-1576,-3396,-3304,-2959,11792,-1952,2112,21972
-2504,-3444,4760,103,9067,-4414,2176,21993
-7968,92,5088,5127,15770,-3809,2128,22014
-14048,-1060,1464,3509,14275,-3420,2192,22035
-10008,-1876,4076,-878,7428,-3763,2128,22056
